"Date","station_name","pm25_value","measurement_quality","Latitude","Longitude","Altitude..m."
"2014-01-01","Aberdeen",8,"V",57.15736,-2.094278,20
"2014-01-01","Auchencorth Moss",2,"V",55.79216,-3.2429,260
"2014-01-01","Barnstaple A39",4,"V",51.074793,-4.041924,13
"2014-01-01","Belfast Centre",5,"V",54.59965,-5.928833,10
"2014-01-01","Birmingham Acocks Green",3,"V",52.437165,-1.829999,134
"2014-01-01","Birmingham Tyburn",3,"V",52.511722,-1.830583,93
"2014-01-01","Bristol St Paul's",6,"V",51.462839,-2.584482,15
"2014-01-01","Camden Kerbside",4,"V",51.54421,-0.175269,50
"2014-01-01","Cardiff Centre",4,"V",51.48178,-3.17625,12
"2014-01-01","Carlisle Roadside",5,"V",54.894834,-2.945307,11
"2014-01-01","Chatham Roadside",4,"V",51.374264,0.54797,80
"2014-01-01","Chepstow A48",5,"V",51.638094,-2.678731,67
"2014-01-01","Chesterfield",5,"V",53.230583,-1.433611,86
"2014-01-01","Chesterfield Roadside",3,"V",53.231722,-1.456944,96
"2014-01-01","Coventry Memorial Park",3,"V",52.394399,-1.519612,95
"2014-01-01","Derry",10,"V",55.001225,-7.329115,32
"2014-01-01","Eastbourne",5,"V",50.805778,0.271611,7
"2014-01-01","Edinburgh St Leonards",7,"V",55.945589,-3.182186,81
"2014-01-01","Glasgow Kerbside",11,"V",55.85917,-4.258889,10
"2014-01-01","Glasgow Townhead",3,"V",55.865782,-4.243631,40
"2014-01-01","Grangemouth",6,"V",56.010319,-3.704399,4
"2014-01-01","Haringey Roadside",7,"V",51.5993,-0.068218,10
"2014-01-01","Harwell",1,"V",51.571078,-1.325283,126
"2014-01-01","Hull Freetown",4,"V",53.74878,-0.341222,4
"2014-01-01","Leamington Spa",4,"V",52.28881,-1.533119,55
"2014-01-01","Leamington Spa Rugby Road",4,"V",52.294884,-1.542911,66
"2014-01-01","Leeds Centre",6,"V",53.80378,-1.546472,78
"2014-01-01","Leeds Headingley Kerbside",9,"V",53.819972,-1.576361,85
"2014-01-01","Leicester University",4,"V",52.619823,-1.127311,83
"2014-01-01","Liverpool Speke",5,"V",53.34633,-2.844333,26
"2014-01-01","London Bexley",5,"V",51.46603,0.184806,13
"2014-01-01","London Bloomsbury",5,"V",51.52229,-0.125889,20
"2014-01-01","London Eltham",4,"V",51.45258,0.070766,60
"2014-01-01","London Harlington",4,"V",51.48879,-0.441614,35
"2014-01-01","London Harrow Stanmore",6,"V",51.617333,-0.298777,79
"2014-01-01","London Marylebone Road",7,"V",51.52253,-0.154611,35
"2014-01-01","London N. Kensington",5,"V",51.52105,-0.213492,5
"2014-01-01","Manchester Piccadilly",1,"V",53.48152,-2.237881,57
"2014-01-01","Middlesbrough",6,"V",54.569297,-1.220874,10
"2014-01-01","Newcastle Centre",6,"V",54.97825,-1.610528,45
"2014-01-01","Newport",7,"V",51.601203,-2.977281,24
"2014-01-01","Norwich Lakenfields",4,"V",52.614193,1.301976,36
"2014-01-01","Nottingham Centre",3,"V",52.95473,-1.146447,41
"2014-01-01","Oxford St Ebbes",7,"V",51.744806,-1.260278,58
"2014-01-01","Port Talbot Margam",17,"V",51.58395,-3.770822,5
"2014-01-01","Portsmouth",11,"V",50.82881,-1.068583,5
"2014-01-01","Preston",4,"V",53.76559,-2.680353,40
